Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,22,17,0,5,0
Plain Text,requirements.txt,requirements.txt,5,5,0,0,0
Plain Text,contributors.txt,contributors.txt,33,24,0,9,0
gitignore,.gitignore,.gitignore,57,34,13,10,0
Python,test.py,test.py,302,158,108,36,19
Plain Text,text/小孩子挑食有必要纠正吗？--张诗琳的回答.txt,小孩子挑食有必要纠正吗？--张诗琳的回答.txt,9,4,0,5,0
Python,auth.py,auth.py,241,231,4,6,1
ReStructuredText,README.rst,README.rst,875,558,0,317,0
Plain Text,text/有哪些「百元货」可以有效提高生活质量？--雅意的回答.txt,有哪些「百元货」可以有效提高生活质量？--雅意的回答.txt,21,14,0,7,0
Plain Text,text/汉语中有没有四字短语分别是一二三四声？--苏芸的回答.txt,汉语中有没有四字短语分别是一二三四声？--苏芸的回答.txt,13,8,0,5,0
Plain Text,text/日常生活中有哪些十分钟就能学会但是终生受用的技能？--曾加的回答.txt,日常生活中有哪些十分钟就能学会但是终生受用的技能？--曾加的回答.txt,339,198,0,141,0
Plain Text,text/有哪些「百元货」可以有效提高生活质量？--王慢慢的回答.txt,有哪些「百元货」可以有效提高生活质量？--王慢慢的回答.txt,146,95,0,51,0
Plain Text,text/日常生活中有哪些十分钟就能学会但是终生受用的技能？--王霄池的回答.txt,日常生活中有哪些十分钟就能学会但是终生受用的技能？--王霄池的回答.txt,36,30,0,6,0
Plain Text,text/大家觉得自己牛逼在哪？--程浩的回答.txt,大家觉得自己牛逼在哪？--程浩的回答.txt,61,29,0,32,0
Plain Text,text/要怎样努力，才能成为很厉害的人？--白墨的回答.txt,要怎样努力，才能成为很厉害的人？--白墨的回答.txt,19,14,0,5,0
Plain Text,text/要怎样努力，才能成为很厉害的人？--采铜的回答.txt,要怎样努力，才能成为很厉害的人？--采铜的回答.txt,96,48,0,48,0
Markdown,markdown/雍正登基后为何翻脸诛杀功臣年羹尧？--刘三叔的回答.md,雍正登基后为何翻脸诛杀功臣年羹尧？--刘三叔的回答.md,48,43,0,5,0
Markdown,markdown/大家觉得自己牛逼在哪？--程浩的回答.md,大家觉得自己牛逼在哪？--程浩的回答.md,90,58,0,32,0
Python,zhihu.py,zhihu.py,1460,1334,76,50,93
Markdown,markdown/日常生活中有哪些十分钟就能学会但是终生受用的技能？--王霄池的回答.md,日常生活中有哪些十分钟就能学会但是终生受用的技能？--王霄池的回答.md,37,33,0,4,0
Markdown,markdown/八十、九十年代的中国曾经都疯狂流行过什么？--魏阳的回答.md,八十、九十年代的中国曾经都疯狂流行过什么？--魏阳的回答.md,11,7,0,4,0
Markdown,markdown/大家觉得自己牛逼在哪？--匿名用户的回答.md,大家觉得自己牛逼在哪？--匿名用户的回答.md,70,43,0,27,0
Markdown,markdown/有什么一听就很厉害很高手的招式？--Kaiser的回答.md,有什么一听就很厉害很高手的招式？--Kaiser的回答.md,96,60,0,36,0
Markdown,markdown/有哪些「百元货」可以有效提高生活质量？--雅意的回答.md,有哪些「百元货」可以有效提高生活质量？--雅意的回答.md,20,15,0,5,0
Markdown,markdown/小孩子挑食有必要纠正吗？--张诗琳的回答.md,小孩子挑食有必要纠正吗？--张诗琳的回答.md,5,4,0,1,0
Markdown,markdown/要怎样努力，才能成为很厉害的人？--采铜的回答.md,要怎样努力，才能成为很厉害的人？--采铜的回答.md,154,104,0,50,0
Markdown,markdown/有哪些「百元货」可以有效提高生活质量？--王慢慢的回答.md,有哪些「百元货」可以有效提高生活质量？--王慢慢的回答.md,428,203,0,225,0
